timestamp;date_GMT;status;attendance;home_team_name;away_team_name;referee;Game Week;Pre-Match PPG (Home);Pre-Match PPG (Away);home_ppg;away_ppg;home_team_goal_count;away_team_goal_count;total_goal_count;total_goals_at_half_time;home_team_goal_count_half_time;away_team_goal_count_half_time;home_team_goal_timings;away_team_goal_timings;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_first_half_cards;home_team_second_half_cards;away_team_first_half_cards;away_team_second_half_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_shots_off_target;away_team_shots_off_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;Home Team Pre-Match xG;Away Team Pre-Match xG;team_a_xg;team_b_xg;average_goals_per_match_pre_match;btts_percentage_pre_match;over_15_percentage_pre_match;over_25_percentage_pre_match;over_35_percentage_pre_match;over_45_percentage_pre_match;over_15_HT_FHG_percentage_pre_match;over_05_HT_FHG_percentage_pre_match;over_15_2HG_percentage_pre_match;over_05_2HG_percentage_pre_match;average_corners_per_match_pre_match;average_cards_per_match_pre_match;odds_ft_home_team_win;odds_ft_draw;odds_ft_away_team_win;odds_ft_over15;odds_ft_over25;odds_ft_over35;odds_ft_over45;odds_btts_yes;odds_btts_no;stadium_name
1675454400;Feb 03 2023 - 8:00pm;complete;N/A;El Porvenir Women;Estudiantes La Plata Women;N/A;1;0.00;0.00;1.00;0.75;2;2;4;0;0;0;62,69;48,51;2;1;2;0;5;0;2;0;2;3;9;8;5;5;4;3;-1;-1;50;50;0.00;0.00;1.19;1.13;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Estadio Gildo Francisco Ghersinich (Gerli- Provincia de Buenos Aires)
1675454400;Feb 03 2023 - 8:00pm;complete;N/A;Lanus Women;Estudiantes Caseros W;N/A;1;0.00;0.00;0.67;0.91;0;0;0;0;0;0;;;2;2;-1;-1;-1;-1;-1;-1;-1;-1;4;9;0;4;4;5;-1;-1;50;50;0.00;0.00;0.62;1.36;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Predio LanÇ§s Auxiliar (ValentÇðn Alsina- Provincia de Buenos Aires)
1675512000;Feb 04 2023 - 12:00pm;complete;N/A;Gimnasia La Plata W;SAT W;N/A;1;0.00;0.00;1.27;1.36;0;0;0;0;0;0;;;3;4;-1;-1;-1;-1;-1;-1;-1;-1;6;8;4;7;2;1;-1;-1;48;52;0.00;0.00;1.08;1.45;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Estadio Juan Carmelo Zerillo (La Plata- Provincia de Buenos Aires)
1675512000;Feb 04 2023 - 12:00pm;complete;N/A;Huracan Women;Independiente Women;N/A;1;0.00;0.00;1.91;1.27;1;0;1;1;1;0;44;;8;8;2;0;1;1;0;2;1;1;8;9;5;4;3;5;-1;-1;50;50;0.00;0.00;1.23;1.17;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Predio La Quemita (Capital Federal- Ciudad de Buenos Aires)
1675540800;Feb 04 2023 - 8:00pm;complete;N/A;UAI Urquiza Women;Banfield W;N/A;1;0.00;0.00;2.23;1.58;4;0;4;1;1;0;29,62,64,68;;7;2;1;0;2;0;0;1;1;1;11;7;8;4;3;3;-1;-1;50;50;0.00;0.00;1.79;0.96;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Estadio Monumental de Villa Lynch (General San MartÇðn- Provincia de Buenos Aires)
1675598400;Feb 05 2023 - 12:00pm;complete;N/A;Platense Women;Boca Juniors Women;N/A;1;0.00;0.00;2.50;2.25;1;1;2;0;0;0;61;67;3;6;2;0;1;0;0;2;0;1;11;14;4;4;7;10;-1;-1;50;50;0.00;0.00;1.37;1.67;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Predio Alejandro Mariani DolÇ­n (Capital Federal- Ciudad de Buenos Aires)
1675627200;Feb 05 2023 - 8:00pm;complete;N/A;River Plate Women;Ferro Carril Oeste Women;N/A;1;0.00;0.00;2.30;0.27;2;0;2;2;2;0;29,35;;6;4;1;0;1;0;0;1;0;1;14;8;7;4;7;4;10;8;50;50;0.00;0.00;1.94;1.16;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Polideportivo CA River Plate (Predio Ezeiza) (Ezeiza- Provincia de Buenos Aires)
1675713600;Feb 06 2023 - 8:00pm;complete;N/A;Racing Club Women;San Lorenzo Women;N/A;1;0.00;0.00;1.75;1.50;1;2;3;1;0;1;88;1,9002;5;4;2;0;3;0;2;0;1;2;10;8;6;6;4;2;-1;-1;50;50;0.00;0.00;1.67;1.29;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Tita Mattiusi Predio Racing Club (SarandÇð- Provincia de Buenos Aires)
1675713600;Feb 06 2023 - 8:00pm;complete;N/A;Belgrano W;Excursionistas Women;N/A;1;0.00;0.00;1.73;0.83;2;1;3;0;0;0;;;3;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Predio Armando PÇ¸rez (CÇürdoba- Provincia de CÇürdoba)
1675800000;Feb 07 2023 - 8:00pm;complete;N/A;Defensores de Belgrano W;Rosario Central W;N/A;1;0.00;0.00;0.73;2.25;1;6;7;3;0;3;60;20,33,41,76,82,9001;5;6;1;0;2;0;0;1;1;1;7;12;2;10;5;2;-1;-1;50;50;0.00;0.00;1.12;2.02;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Estadio Juan Pasquale (Capital Federal- Ciudad de Buenos Aires)
1677873600;Mar 03 2023 - 8:00pm;complete;N/A;Estudiantes La Plata Women;Estudiantes Caseros W;N/A;2;0.00;1.00;0.60;0.91;1;0;1;1;1;0;18;;1;6;11;0;5;0;4;7;2;3;7;12;4;4;3;8;-1;-1;50;50;0.00;1.36;1.03;1.48;0.00;0;0;0;0;0;0;0;0;0;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Country Club de Estudiantes de La Plata (La Plata- Provincia de Buenos Aires)
1677873600;Mar 03 2023 - 8:00pm;complete;N/A;UAI Urquiza Women;LanÇ§s Women;N/A;2;3.00;0.00;2.23;0.30;5;0;5;2;2;0;3,23,51,69,77;;9;3;1;0;2;1;1;0;0;3;12;2;7;2;5;0;-1;-1;50;50;1.79;0.00;1.81;0.60;2.00;0;50;50;50;0;0;50;50;50;7.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Estadio Monumental de Villa Lynch (General San MartÇðn- Provincia de Buenos Aires)
1677960000;Mar 04 2023 - 8:00pm;complete;N/A;San Lorenzo Women;Defensores de Belgrano W;N/A;2;0.00;0.00;1.82;0.00;2;0;2;1;1;0;2,79;;4;2;1;0;3;0;1;0;2;1;16;4;9;0;7;4;-1;-1;50;50;0.00;0.00;2.28;0.52;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Cancha Auxiliar San Lorenzo (Capital Federal- Ciudad de Buenos Aires)
1677960000;Mar 04 2023 - 8:00pm;complete;N/A;Boca Juniors Women;Racing Club Women;N/A;2;0.00;0.00;3.00;1.90;3;0;3;0;0;0;60,67,89;;6;0;2;0;3;1;1;1;1;3;10;3;4;0;6;3;-1;-1;50;50;0.00;0.00;1.32;0.41;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Complejo Casa Amarilla Pedro Pompilio (Ciudad de Buenos Aires)
1678017600;Mar 05 2023 - 12:00pm;complete;N/A;Ferro Carril Oeste Women;El Porvenir Women;N/A;2;0.00;0.00;1.91;0.40;4;0;4;1;1;0;18,53,71,90;;1;8;2;0;4;0;1;1;3;1;16;11;10;6;6;5;-1;-1;50;50;0.00;0.00;2.11;1.49;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Predio Ferro Pontevedra (Pontevedra- Provincia de Buenos Aires)
1678017600;Mar 05 2023 - 12:00pm;complete;N/A;Banfield W;Gimnasia La Plata W;N/A;2;0.00;0.00;0.89;0.82;1;0;1;0;0;0;;;4;5;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Predio Luis GuillÇün (Luis GuillÇün- Provincia de Buenos Aires)
1678132800;Mar 06 2023 - 8:00pm;complete;N/A;Independiente Women;River Plate Women;N/A;2;0.00;0.00;2.00;1.44;1;0;1;0;0;0;9003;;2;7;2;0;2;0;1;1;0;2;10;11;4;5;6;6;-1;-1;50;50;0.00;0.00;1.37;1.60;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Estadio Libertadores de AmÇ¸rica (Avellaneda- Provincia de Buenos Aires)
