full_name;age;birthday;birthday_GMT;league;season;position;Current_club;minutes_played_overall;minutes_played_home;minutes_played_away;nationality;appearances_overall;appearances_home;appearances_away;goals_overall;goals_home;goals_away;assists_overall;assists_home;assists_away;penalty_goals;penalty_misses;clean_sheets_overall;clean_sheets_home;clean_sheets_away;conceded_overall;conceded_home;conceded_away;yellow_cards_overall;red_cards_overall;goals_involved_per_90_overall;assists_per_90.00_overall;goals_per_90.00_overall;goals_per_90.00_home;goals_per_90.00_away;min_per_goal_overall;conceded_per_90.00_overall;min_per_conceded_overall;min_per_match;min_per_card_overall;min_per_assist_overall;cards_per_90.00_overall;rank_in_league_top_attackers;rank_in_league_top_midfielders;rank_in_league_top_defenders;rank_in_club_top_scorer;average_rating_overall;assists_per_game_overall;penalties_won_total_overall;shirt_number;annual_salary_gbp;annual_salary_usd
Aaron Anselmino;18;1114758000;29/4/2005;Primera Division;2023;Defender;Boca Juniors;44;44;0;Argentina;2;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0.00;0;22;0;0;0.00;-1;-1;-1;23;0.00;0.00;0;50;0;0
Aaron Faondo Quiroz;21;1004515200;31/10/2001;Primera Division;2023;Defender;Banfield;1626;694;932;Argentina;21;9;12;1;1;0;1;1;0;0;0;10;7;3;19;5;14;3;0;0.11;0.06;0.06;0.13;0.00;1626;1.05;86;77;542;1626;0.17;247;214;156;8;0.00;0.00;0;3;0;0
Aaron Niilas Molinas;23;965199600;2/8/2000;Primera Division;2023;Midfielder;Tigre;1357;595;762;Argentina;25;12;13;1;1;0;3;1;2;0;0;7;3;4;15;6;9;4;0;0.27;0.2;0.07;0.15;0.00;1357;0.99;90;54;339;452;0.27;233;51;-1;11;0.00;0.00;0;28;0;0
Adam Fernando Bareiro Gamarra;27;838364400;26/7/1996;Primera Division;2023;Forward;San Lorenzo;2030;953;1077;Paraguay;26;12;14;9;5;4;1;1;0;3;0;14;10;4;13;4;9;10;1;0.44;0.04;0.4;0.47;0.33;226;0.58;156;78;203;2030;0.44;27;284;-1;1;6.91;0.04;0;11;0;0
Adrian Emmanuel Martinez;31;710492400;7/7/1992;Primera Division;2023;Forward;Instituto;2559;1249;1310;Argentina;29;14;15;12;5;7;1;0;1;1;0;10;5;5;31;10;21;8;0;0.46;0.04;0.42;0.36;0.48;213;1.09;83;88;320;2559;0.28;24;261;-1;1;6.93;0.03;0;9;0;0
Adrian Guillermo Sanoez;24;926665200;14/5/1999;Primera Division;2023;Midfielder;Atletico Tucuman;1743;727;1016;Argentina;26;11;15;1;0;1;1;1;0;0;0;11;5;6;20;6;14;4;0;0.1;0.05;0.05;0.00;0.09;1743;1.03;87;67;436;1743;0.21;261;253;-1;9;0.00;0.00;0;5;0;0
Adrian Sporle;28;805618800;13/7/1995;Primera Division;2023;Defender;Arsenal de Sarandi;2306;1151;1155;Argentina;28;14;14;1;1;0;1;1;0;0;0;5;3;2;28;14;14;7;1;0.08;0.04;0.04;0.08;0.00;2306;1.09;82;82;288;2306;0.31;290;285;170;8;6.74;0.04;0;5;0;0
Agostino Luigi Spina;21;1004515200;31/10/2001;Primera Division;2023;Midfielder;Huracan;309;98;211;Argentina;5;2;3;0;0;0;0;0;0;0;0;2;1;1;2;0;2;1;0;0.00;0.00;0.00;0.00;0.00;0;0.58;155;62;309;0;0.29;340;340;-1;11;6.74;0.00;0;15;0;0
Agustin Alonso;22;980236800;23/1/2001;Primera Division;2023;Midfielder;Platense;228;195;33;Argentina;7;6;1;0;0;0;0;0;0;0;0;1;1;0;3;2;1;0;0;0.00;0.00;0.00;0.00;0.00;0;1.18;76;33;0;0;0.00;-1;-1;-1;23;0.00;0.00;0;28;0;0
Agustin ordozo;26;864975600;30/5/1997;Primera Division;2023;Midfielder;Tigre;1363;681;682;Argentina;25;11;14;1;0;1;0;0;0;0;0;7;4;3;12;7;5;2;0;0.07;0.00;0.07;0.00;0.13;1363;0.79;114;55;682;0;0.13;241;432;-1;10;6.89;0.00;0;15;0;0
Agustin Ezequiel Almendra;23;950256000;11/2/2000;Primera Division;2023;Midfielder;Racing Club;143;19;124;Argentina;3;1;2;0;0;0;1;0;1;0;0;0;0;0;2;0;2;0;0;0.63;0.63;0.00;0.00;0.00;0;1.26;72;48;0;143;0.00;-1;-1;-1;23;6.75;0.33;0;22;0;0
Agustin Gabriel Bolivar;27;821174400;9/1/1996;Primera Division;2023;Midfielder;Gimnasia La Plata;1128;550;578;Argentina;17;8;9;0;0;0;1;1;0;0;0;4;3;1;16;3;13;2;0;0.08;0.08;0.00;0.00;0.00;0;1.28;71;66;564;1128;0.16;362;186;-1;27;6.56;0.06;0;14;0;0
Agustin Giay;19;1074240000;16/1/2004;Primera Division;2023;Midfielder;San Lorenzo;1247;739;508;Argentina;17;10;7;0;0;0;0;0;0;0;0;11;8;3;8;4;4;3;1;0.00;0.00;0.00;0.00;0.00;0;0.58;156;73;312;0;0.29;336;334;-1;16;0.00;0.00;0;47;0;0
Agustin Martegani;23;958806000;20/5/2000;Primera Division;2023;Midfielder;San Lorenzo;754;432;322;Argentina;16;9;7;0;0;0;1;1;0;0;0;9;8;1;4;0;4;2;0;0.12;0.12;0.00;0.00;0.00;0;0.48;189;47;377;754;0.24;489;135;-1;27;6.78;0.06;0;20;0;0
Agustin Niilas Dattola;24;924591600;20/4/1999;Primera Division;2023;Defender;Barracas Central;343;180;163;Argentina;5;2;3;0;0;0;0;0;0;0;0;1;1;0;5;3;2;2;0;0.00;0.00;0.00;0.00;0.00;0;1.31;69;69;172;0;0.52;379;361;214;16;5.09;0.00;0;18;0;0
Agustin Niilas Mulet;23;951206400;22/2/2000;Primera Division;2023;Midfielder;Independiente;573;196;377;Argentina;13;7;6;0;0;0;0;0;0;0;0;5;2;3;6;4;2;1;0;0.00;0.00;0.00;0.00;0.00;0;0.94;96;44;573;0;0.16;415;414;-1;28;5.01;0.00;0;5;0;0
Agustin Obando;23;952761600;11/3/2000;Primera Division;2023;Forward;Tigre;225;95;130;Argentina;9;5;4;0;0;0;0;0;0;0;0;3;1;2;3;2;1;2;0;0.00;0.00;0.00;0.00;0.00;0;1.2;75;25;113;0;0.8;-1;-1;-1;20;6.02;0.00;0;7;0;0
Agustin Ojeda;19;1087628400;19/6/2004;Primera Division;2023;Midfielder;Racing Club;280;174;106;Argentina;7;4;3;1;1;0;1;1;0;0;0;1;0;1;3;1;2;0;0;0.64;0.32;0.32;0.52;0.00;280;0.96;93;40;0;280;0.00;45;12;-1;17;6.83;0.14;0;26;0;0
Agustin Palaveono;26;847526400;9/11/1996;Primera Division;2023;Midfielder;River Plate;919;300;619;Argentina;24;11;13;2;0;2;0;0;0;0;0;12;6;6;15;4;11;5;1;0.2;0.00;0.2;0.00;0.29;460;1.47;61;38;153;0;0.59;93;312;-1;8;6.31;0.00;0;8;0;0
Agustin Quiroga;21;1018080000;6/4/2002;Primera Division;2023;Goalkeeper;Independiente;15;0;15;Argentina;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0.00;0;15;0;0;0.00;-1;-1;-1;13;0.00;0.00;0;38;0;0
Agustin Ramirez;23;957250800;2/5/2000;Primera Division;2023;Forward;Gimnasia La Plata;46;0;46;Argentina;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0;0.00;0;15;46;0;1.96;-1;-1;-1;14;6.53;0.00;0;42;0;0
Agustin Urzi;23;957423600;4/5/2000;Primera Division;2023;Forward;Banfield;68;68;0;Argentina;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0.00;0;68;0;0;0.00;-1;-1;-1;13;7.31;0.00;0;11;0;0
Alan Aguerre;33;651394800;23/8/1990;Primera Division;2023;Goalkeeper;Lanus;270;180;90;Argentina;3;2;1;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0;0;0.00;0.00;0.00;0.00;0.00;0;1;90;90;0;0;0.00;-1;-1;-1;24;6.36;0.00;0;1;0;0
Alan Franosi Rodriguez Armoa;23;966322800;15/8/2000;Primera Division;2023;Midfielder;Rosario Central;2521;1406;1115;Paraguay;29;16;13;1;0;1;5;4;1;0;0;13;8;5;26;9;17;2;1;0.21;0.18;0.04;0.00;0.08;2521;0.93;97;87;840;504;0.11;296;62;-1;11;6.87;0.17;0;16;0;0
Alan Leonel Di Pippa;23;961138800;16/6/2000;Primera Division;2023;Midfielder;Banfield;230;46;184;Argentina;7;1;6;0;0;0;0;0;0;0;0;2;0;2;2;1;1;1;0;0.00;0.00;0.00;0.00;0.00;0;0.78;115;33;230;0;0.39;-1;-1;-1;27;0.00;0.00;0;25;0;0
Alan Marinelli;24;923468400;7/4/1999;Primera Division;2023;Forward;Sarmiento;253;173;80;Argentina;3;2;1;0;0;0;1;0;1;0;0;2;2;0;1;0;1;0;0;0.36;0.36;0.00;0.00;0.00;0;0.36;253;84;0;253;0.00;-1;-1;-1;16;6.83;0.33;0;9;0;0
Alan Martin ontero;25;899017200;28/6/1998;Primera Division;2023;Forward;Barracas Central;494;319;175;Argentina;17;11;6;1;0;1;0;0;0;0;0;7;6;1;5;1;4;1;0;0.18;0.00;0.18;0.00;0.51;494;0.91;99;29;494;0;0.18;115;306;-1;10;6.22;0.00;1;11;0;0
Alan Rodriguez;23;948787200;25/1/2000;Primera Division;2023;Midfielder;Argentinos Juniors;1341;621;720;Uruguay;21;11;10;1;1;0;0;0;0;0;0;10;5;5;12;7;5;1;0;0.07;0.00;0.07;0.14;0.00;1341;0.81;112;64;1341;0;0.07;238;470;-1;8;6.55;0.00;0;8;0;0
Alan Sosa;20;1052118000;5/5/2003;Primera Division;2023;Midfielder;Gimnasia La Plata;496;257;239;Argentina;12;6;6;0;0;0;0;0;0;0;0;3;2;1;7;3;4;0;0;0.00;0.00;0.00;0.00;0.00;0;1.27;71;41;0;0;0.00;393;402;-1;33;0.00;0.00;0;35;0;0
Alan Steven Frani Palma;25;903682800;21/8/1998;Primera Division;2023;Midfielder;Talleres Cordoba;1038;450;588;Ecuador;19;9;10;0;0;0;1;1;0;0;0;6;4;2;15;5;10;2;0;0.09;0.09;0.00;0.00;0.00;0;1.3;69;55;519;1038;0.17;383;178;-1;21;6.59;0.05;0;23;0;0
Alan Tobias Morinigo;17;1127372400;22/9/2005;Primera Division;2023;Defender;Defensa y Justicia;54;0;54;Argentina;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0.00;0;54;0;0;0.00;-1;-1;-1;17;0.00;0.00;0;33;0;0
Alan Varela;22;994230000;4/7/2001;Primera Division;2023;Midfielder;Boca Juniors;1714;801;913;Argentina;24;11;13;0;0;0;1;0;1;0;0;10;6;4;13;3;10;10;0;0.05;0.05;0.00;0.00;0.00;0;0.68;132;71;171;1714;0.53;556;249;-1;32;6.84;0.04;0;5;0;0
