celda;Aporte_Drops_Voz;Drops;Dropstotal
GGW005C;4.22;110;2604
GGC007B;3.49;91;2604
GGW033B;2.65;69;2604
GGC008A;2.04;53;2604
GGW038C;2.04;53;2604
VGC002B;2.04;53;2604
VGC002Y;1.96;51;2604
GGW005B;1.92;50;2604
VGW005A;1.80;47;2604
GGC007C;1.77;46;2604
VGC008Z;1.65;43;2604
GGW033A;1.61;42;2604
GGW034B;1.61;42;2604
VGW033B;1.50;39;2604
VGW003B;1.46;38;2604
VGC008A;1.42;37;2604
VGW003A;1.38;36;2604
GGC005A;1.31;34;2604
GGW038B;1.31;34;2604
GGW040A;1.31;34;2604
GGW040B;1.19;31;2604
GGW005A;1.15;30;2604
VGW005Z;1.15;30;2604
GGC004A;1.11;29;2604
GGW003B;1.11;29;2604
VGW033Y;1.11;29;2604
VGC002A;1.08;28;2604
VGC310Z;1.08;28;2604
VGC310A;1.04;27;2604
VGC008B;1.00;26;2604
VGW042X;1.00;26;2604
GGW040C;0.92;24;2604
VGC008Y;0.92;24;2604
VGW038A;0.88;23;2604
VGW042Z;0.88;23;2604
VGC002Z;0.84;22;2604
VGW033A;0.84;22;2604
VGC020A;0.81;21;2604
GGC008B;0.77;20;2604
VGC310Y;0.77;20;2604
GGC306C;0.73;19;2604
VGC001B;0.73;19;2604
VGC014Y;0.73;19;2604
VGC020Z;0.73;19;2604
VGW033C;0.73;19;2604
VGW038B;0.73;19;2604
VGW038Y;0.73;19;2604
VGC310B;0.69;18;2604
VGW005B;0.69;18;2604
VGW005C;0.69;18;2604
VGW033Z;0.69;18;2604
VGW042C;0.69;18;2604
GGC007A;0.65;17;2604
VGC008C;0.65;17;2604
VGC008X;0.65;17;2604
VGC014B;0.65;17;2604
GGC005C;0.61;16;2604
MGC001B;0.61;16;2604
GGC003A;0.58;15;2604
GGC014B;0.58;15;2604
VGC007Y;0.58;15;2604
VGW038Z;0.58;15;2604
GGC015B;0.54;14;2604
GGW034C;0.54;14;2604
VGW003C;0.54;14;2604
VGW005X;0.54;14;2604
VGW005Y;0.54;14;2604
GGC012B;0.50;13;2604
VGC016B;0.50;13;2604
VGW033X;0.50;13;2604
GGC014A;0.46;12;2604
VGC012A;0.46;12;2604
GGC012A;0.42;11;2604
VGW040C;0.42;11;2604
VGW042A;0.42;11;2604
GGC310C;0.38;10;2604
VGC016Z;0.38;10;2604
GGC002A;0.35;9;2604
