cell;ultimo_dia_mayor_1;FA
LMC041B;;0.0
LMC044A;;0.0
LMC048A;;0.0
LMC050B;;0.0
LMC050C;;0.0
LMC051C;;0.0
LMC055A;;0.0
LMC059X;;0.0
LMC059Y;;0.0
LMC065B;;0.0
LMC065C;;0.0
LMC065Y;;0.0
LMC065Z;;0.0
LMC066A;;0.0
LMC066B;;0.0
LMC066C;;0.0
LMC066X;;0.0
LMC066Y;;0.0
LMC066Z;;0.0
LMC080A;;0.0
LMC092B;;0.0
LMC093A;;0.0
LMC098B;;0.0
LMC103Z;;0.0
LMC112C;;0.0
LMC131A;;0.0
LMC219B;;0.0
LMC219C;;0.0
LMC301B;;0.0
LMC305C;;0.0
LMC306A;;0.0
LMC307Y;;0.0
LMC316B;;0.0
LMC318Y;;0.0
LMC322C;;0.0
LMC328C;;0.0
LMC332C;;0.0
LMC333C;;0.0
LMC350C;;0.0
LMC373Y;;0.0
LMC373Z;;0.0
LMN016A;;0.0
LMN025B;;0.0
LMN025C;;0.0
LMN025X;;0.0
LMN025Y;;0.0
LMN029A;;0.0
LMN029B;;0.0
LMN042B;;0.0
LMN042Y;;0.0
LMN080A;;0.0
LMO002B;;0.0
LMO002C;;0.0
LMO015A;;0.0
LMO015B;;0.0
LMO015C;;0.0
LMS002B;;0.0
LMS003B;;0.0
LMS003C;;0.0
LMS034B;;0.0
LMS137B;;0.0
LNC302B;;0.0
LOC002C;;0.0
LOC003C;;0.0
LOC004B;;0.0
LOC004C;;0.0
LOC007A;;0.0
LQC001C;;0.0
LQC005A;;0.0
LQC005B;;0.0
LQC005C;;0.0
LQC006B;;0.0
LQC006C;;0.0
LQC008A;;0.0
LQC008C;;0.0
LQC011B;;0.0
LQC011Y;;0.0
LQC011Z;;0.0
LQC021B;;0.0
LQC023B;;0.0
LQC045A;;0.0
LQC055A;;0.0
LQC055B;;0.0
LQC055C;;0.0
LQC056C;;0.0
LQC059A;;0.0
LQC059B;;0.0
LQC059C;;0.0
LQC147A;;0.0
LQC147C;;0.0
LQC147X;;0.0
LQC147Y;;0.0
LQC147Z;;0.0
LQC149A;;0.0
LQC348B;;0.0
LQC348X;;0.0
LQC348Y;;0.0
LQC348Z;;0.0
LQE005B;;0.0
LQE008A;;0.0
LQE008B;;0.0
LQE008Y;;0.0
LQE008Z;;0.0
LQE040C;;0.0
LQE040X;;0.0
LQE117X;;0.0
LQE117Y;;0.0
LQN036Y;;0.0
LQN105B;;0.0
LQS003A;;0.0
LQS003C;;0.0
LQS030O;;0.0
LQW003C;;0.0
LQW007A;;0.0
LQW007C;;0.0
LQW013C;;0.0
LQW013X;;0.0
LQW013Z;;0.0
LQW033A;;0.0
LQW033B;;0.0
LRC011C;;0.0
LRC016Y;;0.0
LRC016Z;;0.0
LRC066A;;0.0
LRC317A;;0.0
LRE003B;;0.0
LRE006B;;0.0
LRE006C;;0.0
LRE007A;;0.0
LRE007B;;0.0
LRE008A;;0.0
LRE016A;;0.0
LRE018A;;0.0
LRE018B;;0.0
LRE018C;;0.0
LRE021A;;0.0
LRE063A;;0.0
LRE308A;;0.0
LRE308B;;0.0
LRN001A;;0.0
LRN002A;;0.0
LRN002B;;0.0
LRN002C;;0.0
LRN005B;;0.0
LRN006B;;0.0
LRN006C;;0.0
LRN006X;;0.0
LRN014B;;0.0
LRN014Y;;0.0
LRN014Z;;0.0
LRN022A;;0.0
LRN022C;;0.0
LRN022X;;0.0
LRN022Y;;0.0
LRN022Z;;0.0
LRN027C;;0.0
LRN027W;;0.0
LRN027X;;0.0
LRN027Y;;0.0
LRN027Z;;0.0
LRN036A;;0.0
LRN040C;;0.0
LRN045C;;0.0
LRN045X;;0.0
LRN045Y;;0.0
LRN060A;;0.0
LRN060B;;0.0
LRN072B;;0.0
LRN072C;;0.0
LRN077B;;0.0
LRN077C;;0.0
LRN305B;;0.0
